Halal Food Sydney (HFS) - Butchers,,,,,,,
,,,,,,,
Please list any Halal butchers (stocking handslaughtered meat) below.,,,,,,,
"Currently, the only hand-slaughtered meat suppliers in Sydney are Giglios, Fresh Poultry, and Mohammed Amin (MAM 100% Halaal).",,,,,,,
"Please list any potential issues (eg mixed meat supply, cross-contamination risk with non HS meat, etc), as well as any relevant documentation, in the 'Notes & other enquiry details' column.",,,,,,,
,,,,,,,
Butcher Name,"Contact Details
(Address, Phone, Website)",Status,Supplier,Last Contacted,Notes & other enquiry details,Coordinates,State
Green Farm Meats,"838A Pittwater Rd, Dee Why NSW 2099",Pending Review,,,Reputed to sell HS but confirmation of supplier required.,"(-33.7125746, 150.9572584)",NSW
Guildford Family Meats,"306 Guildford Rd, Guildford NSW 2161",Doubtful or No Longer Halal,,11/4/2024,Uses Fresh Poultry 2 U - not HS. Uses Cowra meats,"(-33.7696836, 150.812515)",NSW
Hafda Butchery,"21 Memorial Ave, Liverpool NSW 2170",Confirmed - Halal,Fresh Poultry,15/8/2023,"Chicken is FP, confirmation of meat required.","(-33.9312404, 150.8960401)",NSW
Homebush Halal Meats,"8 Charlotte St, Ashfield NSW 2131",Verified - Halal,Fresh Poultry,1/6/2023,"Also the manufacturer of Yamo Smallgoods, also hand-slaughtered. Was on Fresh Poultry app but was removed when they switched temporarily to MAM 100% Halal. Currently using Fresh Poultry exclusively. Verified with invoices. - M.O.",,
Khoder Ismail Butchery Guildford,"2/285 Guildford Rd, Guildford NSW 2161",Confirmed - Halal,Fresh Poultry,,,"(-33.9286512, 150.9075099)",NSW
Marhaba Quality Halal Meats Pty Ltd,"13 Hill End Rd, Doonside NSW 2767",Confirmed - Halal,Giglio's,,"Store confirmed, TBC with supplier.","(-33.8630016, 151.0110126)",NSW
Meat at the Hills,"Shop 11/50-52 Windsor Rd, Kellyville NSW 2155",Verified - Halal,Fresh Poultry,15/8/2023,Call to FP has confirmed (by sisters HFS member) they are current client and app needs updating,"(-33.8475947, 151.0362873)",NSW
Meat Point Newington,"Shop 7A/1 Ave of Europe, Newington NSW 2127",Pending Review,,15/8/2023,"Chicken is FP, confirmation of meat required.","(-33.76983959176675, 150.84343395418168)",NSW
Nazar Butchery,"25 Mount Druitt Rd, Mount Druitt NSW 2770",Confirmed - Halal,Giglios,,Confirmed via calling Giglios - AR,"(-33.924676697925285, 150.92235126580002)",NSW
Noureddine Meats,"Shop 2/63-71 Hill Rd, Lurnea NSW 2170
02 8119 6522",Verified - Halal,Giglios,,Confirmed via calling Giglios - AR,"(-33.83380730108244, 151.05608466132)",NSW
Paak Halal Meat,"Shop 12 50/32 Rooty Hill Rd N, Rooty Hill NSW 2766",Pending Review,,15/8/2023,,"(-34.06420696783095, 150.8167587111737)",NSW
Qasmi Pakwan (Catering),"Unit 14 76 Hume Hwy, Lansvale NSW 2166",Verified - Halal,Butcher on Wellington,15/8/2023,BOW receipts sent to confirm.,"(-33.923044123831644, 151.0786603019951)",NSW
Rahmania Halal Butchery," 50 Railway Parade, Lakemba NSW 2195",Potential Issues,Fresh Poultry & YCC,,Requires confirmation via receipts/supplier,"(-35.36530566183054, 149.09429616830755)",NSW
The Butcher Brothers,"1/74 Hoxton Park Rd, Liverpool NSW 2170",Confirmed - Halal,Giglios,,Confirmed via calling Giglios - AR,,NSW
The Butcher on Wellington (Taqwa Halal),"30/46 Wellington Rd, South Granville NSW 2142
02 9632 0842",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,,NSW
Yamo Smallgoods,"8 Charlotte St, Ashfield NSW 2131",Verified - Halal,Fresh Poultry,1/6/2023,"Same as Homebush Halal Meats but this is their smallgoods brand, found at many butchers and resturants. ",,NSW
Zamzam Market,"19 Hall St, Auburn NSW 2144",Pending Review,Fresh Poultry,,Reputed to sell HS but confirmation of supplier required.,,NSW
